; Features; Center X Pos.; Center Y Pos.; Area; Length; Radius; Start X Pos.; Start Y Pos.; End X Pos.; End Y Pos.; Angle; Avg. Dist.; Min. Dist.; Max. Dist.; Ctr-to-Ctr Dist.; Perp. Dist.; Count
1;P1;120.31;95.19377;;;;;;;;;;;;;;
2;P2;224.4961;95.19377;;;;;;;;;;;;;;
3;P3;132.7131;95.19377;;;;;;;;;;;;;;
4;P4;220.31;95.19377;;;;;;;;;;;;;;
5;P5;217.2092;95.03873;;;;;;;;;;;;;;
6;P6;214.1085;95.19377;;;;;;;;;;;;;;
7;P7;210.3875;95.03873;;;;;;;;;;;;;;
8;P8;206.8216;95.19377;;;;;;;;;;;;;;
9;P9;203.4108;95.34881;;;;;;;;;;;;;;
10;P10;196.279;95.03873;;;;;;;;;;;;;;
11;P11;192.7131;95.03873;;;;;;;;;;;;;;
12;P12;189.3023;95.19377;;;;;;;;;;;;;;
13;P13;185.9689;95.27129;;;;;;;;;;;;;;
14;P14;200.155;95.19377;;;;;;;;;;;;;;
15;P15;180.6201;95.19377;;;;;;;;;;;;;;
16;P16;166.0465;95.19377;;;;;;;;;;;;;;
17;P17;170.2325;95.19377;;;;;;;;;;;;;;
18;P18;176.124;95.19377;;;;;;;;;;;;;;
19;P19;161.1627;95.27129;;;;;;;;;;;;;;
20;P20;156.279;95.34881;;;;;;;;;;;;;;
21;P21;151.4728;95.27129;;;;;;;;;;;;;;
22;P22;148.2945;95.03873;;;;;;;;;;;;;;
23;P23;143.8759;95.27129;;;;;;;;;;;;;;
24;P24;140.6201;95.27129;;;;;;;;;;;;;;
25;P25;136.279;95.19377;;;;;;;;;;;;;;
26;P97;183.1007;95.19377;;;;;;;;;;;;;;
27;P98;178.4496;95.27129;;;;;;;;;;;;;;
28;P99;174.4186;95.27129;;;;;;;;;;;;;;
29;P100;172.7131;95.19377;;;;;;;;;;;;;;
30;P101;164.4961;95.19377;;;;;;;;;;;;;;
31;P102;163.0232;95.27129;;;;;;;;;;;;;;
32;P103;159.5348;95.27129;;;;;;;;;;;;;;
33;P104;157.8294;95.27129;;;;;;;;;;;;;;
34;P105;153.3333;95.27129;;;;;;;;;;;;;;
35;P106;149.7674;95.27129;;;;;;;;;;;;;;
36;P107;146.5891;95.27129;;;;;;;;;;;;;;
37;P119;145.2713;95.27129;;;;;;;;;;;;;;
38;P120;142.5581;95.27129;;;;;;;;;;;;;;
39;P121;139.1472;95.27129;;;;;;;;;;;;;;
40;P122;137.9069;95.19377;;;;;;;;;;;;;;
41;P123;135.1162;95.27129;;;;;;;;;;;;;;
42;P124;133.8759;95.27129;;;;;;;;;;;;;;
43;P126;168.217;95.19377;;;;;;;;;;;;;;
44;P127;154.8062;95.27129;;;;;;;;;;;;;;
; Features; Center X Pos.; Center Y Pos.; Area; Length; Radius; Start X Pos.; Start Y Pos.; End X Pos.; End Y Pos.; Angle; Avg. Dist.; Min. Dist.; Max. Dist.; Ctr-to-Ctr Dist.; Perp. Dist.; Count
1;P1;33.33332;83.10075;;;;;;;;;;;;;;
2;P2;186.6666;38.13952;;;;;;;;;;;;;;
3;P3;39.06976;81.86044;;;;;;;;;;;;;;
4;P4;45.2713;79.6899;;;;;;;;;;;;;;
5;P5;59.6899;75.19378;;;;;;;;;;;;;;
6;P6;77.67439;70.23254;;;;;;;;;;;;;;
7;P7;66.66665;73.48835;;;;;;;;;;;;;;
8;P8;72.24804;71.93796;;;;;;;;;;;;;;
9;P9;107.9069;61.39533;;;;;;;;;;;;;;
10;P10;114.4186;58.91471;;;;;;;;;;;;;;
11;P11;121.8604;57.05425;;;;;;;;;;;;;;
12;P12;100.4651;63.56587;;;;;;;;;;;;;;
13;P13;93.95346;65.11626;;;;;;;;;;;;;;
14;P14;87.75191;67.59688;;;;;;;;;;;;;;
15;P15;82.17052;69.14727;;;;;;;;;;;;;;
16;P16;129.3023;55.19378;;;;;;;;;;;;;;
17;P17;136.7441;52.71316;;;;;;;;;;;;;;
18;P18;144.4961;50.8527;;;;;;;;;;;;;;
19;P19;150.6976;48.99223;;;;;;;;;;;;;;
20;P20;156.8992;46.82169;;;;;;;;;;;;;;
21;P21;163.4108;45.2713;;;;;;;;;;;;;;
22;P22;168.372;43.72092;;;;;;;;;;;;;;
23;P23;173.3333;42.48061;;;;;;;;;;;;;;
24;P24;177.6744;41.2403;;;;;;;;;;;;;;
25;P25;182.0154;39.68991;;;;;;;;;;;;;;
26;P26;52.71316;77.51936;;;;;;;;;;;;;;
; Features; Center X Pos.; Center Y Pos.; Area; Length; Radius; Start X Pos.; Start Y Pos.; End X Pos.; End Y Pos.; Angle; Avg. Dist.; Min. Dist.; Max. Dist.; Ctr-to-Ctr Dist.; Perp. Dist.; Count
1;P1;51.16277;105.1162;;;;;;;;;;;;;;
2;P2;232.8681;105.1162;;;;;;;;;;;;;;
3;P3;56.74417;105.1162;;;;;;;;;;;;;;
4;P4;62.32556;105.1162;;;;;;;;;;;;;;
5;P5;66.35657;105.1162;;;;;;;;;;;;;;
6;P6;70.69765;105.1162;;;;;;;;;;;;;;
7;P7;75.96897;105.1162;;;;;;;;;;;;;;
8;P8;80.93021;105.1162;;;;;;;;;;;;;;
9;P9;86.5116;105.1162;;;;;;;;;;;;;;
10;P10;93.02323;104.8062;;;;;;;;;;;;;;
11;P11;99.22478;104.8062;;;;;;;;;;;;;;
12;P12;105.7364;105.4263;;;;;;;;;;;;;;
13;P13;112.5581;105.4263;;;;;;;;;;;;;;
14;P14;119.3798;105.1162;;;;;;;;;;;;;;
15;P15;128.062;104.8062;;;;;;;;;;;;;;
16;P16;134.5736;105.4263;;;;;;;;;;;;;;
17;P17;142.3255;105.1162;;;;;;;;;;;;;;
18;P18;150.3876;105.1162;;;;;;;;;;;;;;
19;P19;159.0697;104.8062;;;;;;;;;;;;;;
20;P20;167.7519;104.8062;;;;;;;;;;;;;;
21;P21;175.5038;105.2713;;;;;;;;;;;;;;
22;P22;226.3565;105.1162;;;;;;;;;;;;;;
23;P23;219.2247;104.8062;;;;;;;;;;;;;;
24;P24;212.093;104.8062;;;;;;;;;;;;;;
25;P25;204.0309;105.1162;;;;;;;;;;;;;;
26;P26;197.0542;105.2713;;;;;;;;;;;;;;
27;P27;189.4573;104.9612;;;;;;;;;;;;;;
28;P28;182.6356;104.8062;;;;;;;;;;;;;;
